row_good,cohort,bdchm_entity,bdchm_label,bdchm_varname,has_onto,onto_id,bdchm_unit,phv,var_desc,var_units,has_pht,pht,participantidphv,has_visit,associatedvisit,has_visit_expr,associatedvisit_expr,xassociatedvisit,var_desc_exam,has_age,ageinyearsphv,contextvars_notes,unit_match,unit_convert,unit_expr,conversion_rule,unit_casestmt,unit_casestmt_custom,source_unit,target_unit
1,fhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,OMOP:4154790,mm[Hg],phv00000722,"blood pressure: second examiner, diastolic, exam 4",mm[Hg],1.0,pht000009,phv00001036,1.0,FHS ORIGINAL EXAM 4,0.0,0,FHS ORIGINAL EXAM 1-7,exam 4,1.0,phv00177936,will need to look in variable description for specific exam. to isolate Original cohort Exam 5 one would need to specify IDTYPE=0 (Original cohort) and DATE5,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,OMOP:4154790,mm[Hg],phv00000531,"blood pressure: first examiner, diastolic, exam 1",mm[Hg],1.0,pht000009,phv00001036,1.0,FHS ORIGINAL EXAM 1,0.0,0,FHS ORIGINAL EXAM 1-7,exam 1,1.0,phv00177930,will need to look in variable description for specific exam. to isolate Original cohort Exam 5 one would need to specify IDTYPE=0 (Original cohort) and DATE5,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,OMOP:4154790,mm[Hg],phv00000921,"blood pressure: first examiner, diastolic, exam 7",mm[Hg],1.0,pht000009,phv00001036,1.0,FHS ORIGINAL EXAM 7,0.0,0,FHS ORIGINAL EXAM 1-7,exam 7,1.0,phv00177942,will need to look in variable description for specific exam. to isolate Original cohort Exam 5 one would need to specify IDTYPE=0 (Original cohort) and DATE5,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,OMOP:4154790,mm[Hg],phv00000645,"blood pressure: second examiner, diastolic, exam 3",mm[Hg],1.0,pht000009,phv00001036,1.0,FHS ORIGINAL EXAM 3,0.0,0,FHS ORIGINAL EXAM 1-7,exam 3,1.0,phv00177934,will need to look in variable description for specific exam. to isolate Original cohort Exam 5 one would need to specify IDTYPE=0 (Original cohort) and DATE5,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,OMOP:4154790,mm[Hg],phv00000643,"blood pressure: first examiner, diastolic, exam 3",mm[Hg],1.0,pht000009,phv00001036,1.0,FHS ORIGINAL EXAM 3,0.0,0,FHS ORIGINAL EXAM 1-7,exam 3,1.0,phv00177934,will need to look in variable description for specific exam. to isolate Original cohort Exam 5 one would need to specify IDTYPE=0 (Original cohort) and DATE5,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,OMOP:4154790,mm[Hg],phv00000919,"blood pressure: admission, diastolic, exam 7",mm[Hg],1.0,pht000009,phv00001036,1.0,FHS ORIGINAL EXAM 7,0.0,0,FHS ORIGINAL EXAM 1-7,exam 7,1.0,phv00177942,will need to look in variable description for specific exam. to isolate Original cohort Exam 5 one would need to specify IDTYPE=0 (Original cohort) and DATE5,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,OMOP:4154790,mm[Hg],phv00000836,"blood pressure: first examiner, diastolic, exam 6",mm[Hg],1.0,pht000009,phv00001036,1.0,FHS ORIGINAL EXAM 6,0.0,0,FHS ORIGINAL EXAM 1-7,exam 6,1.0,phv00177940,will need to look in variable description for specific exam. to isolate Original cohort Exam 5 one would need to specify IDTYPE=0 (Original cohort) and DATE5,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,OMOP:4154790,mm[Hg],phv00000641,"blood pressure: admission, diastolic, exam 3",mm[Hg],1.0,pht000009,phv00001036,1.0,FHS ORIGINAL EXAM 3,0.0,0,FHS ORIGINAL EXAM 1-7,exam 3,1.0,phv00177934,will need to look in variable description for specific exam. to isolate Original cohort Exam 5 one would need to specify IDTYPE=0 (Original cohort) and DATE5,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,OMOP:4154790,mm[Hg],phv00000923,"blood pressure: second examiner, diastolic, exam 7",mm[Hg],1.0,pht000009,phv00001036,1.0,FHS ORIGINAL EXAM 7,0.0,0,FHS ORIGINAL EXAM 1-7,exam 7,1.0,phv00177942,will need to look in variable description for specific exam. to isolate Original cohort Exam 5 one would need to specify IDTYPE=0 (Original cohort) and DATE5,1,0,0,0,0,0,0,0
1,fhs,MeasurementObservation,diastolic blood pressure,bp_diastolic,1,OMOP:4154790,mm[Hg],phv00000762,"blood pressure: second examiner, diastolic, exam 5",mm[Hg],1.0,pht000009,phv00001036,1.0,FHS ORIGINAL EXAM 5,0.0,0,FHS ORIGINAL EXAM 1-7,exam 5,1.0,phv00177938,will need to look in variable description for specific exam. to isolate Original cohort Exam 5 one would need to specify IDTYPE=0 (Original cohort) and DATE5,1,0,0,0,0,0,0,0
